wavelength_nm,R
1.374032674118658178e+03,9.723884651772383980e-02
1.371281464530891981e+03,1.087748148923996100e-01
1.368541250356836599e+03,1.148895831559624547e-01
1.365811965811965592e+03,1.149783742090062510e-01
1.363093545635484361e+03,1.090321500311087072e-01
1.360385925085130339e+03,9.771012136251851221e-02
1.357689039932030255e+03,8.247262218754554397e-02
1.355002826455624472e+03,6.571710793844644238e-02
1.352327221438645665e+03,5.081230061836321948e-02
1.349662162162161849e+03,4.185656333514888722e-02
1.347007586400673972e+03,4.300915011676960387e-02
1.344363432417273998e+03,5.743235883578488854e-02
1.341729638958857777e+03,8.621510159296728870e-02
1.339106145251396129e+03,1.278592721125121068e-01
1.336492890995260268e+03,1.786937361173986938e-01
1.333889816360600889e+03,2.339977975149928335e-01
1.331296861982782275e+03,2.892317250475262558e-01
1.328713968957870975e+03,3.408408290290909082e-01
1.326141078838174053e+03,3.864999457642330771e-01
1.323578133627829629e+03,4.249597424564015569e-01
1.321025075778451082e+03,4.557280744555245455e-01
1.318481848184818091e+03,4.787495371866851146e-01
1.315948394180619971e+03,4.941540370582520603e-01
1.313424657534246307e+03,5.020850538779032535e-01
1.310910582444626243e+03,5.025935329152177999e-01
1.308406113537117335e+03,4.955804408931613891e-01
1.305911195859438521e+03,4.807777727120149946e-01
1.303425774877650611e+03,4.577687556599269736e-01
1.300949796472184289e+03,4.260618708173826708e-01
1.298483206933910651e+03,3.852490829528875671e-01
1.296025952960259019e+03,3.352933008453991004e-01
1.293577981651375922e+03,2.769879855495760435e-01
1.291139240506328861e+03,2.125791236221409863e-01
1.288709677419354421e+03,1.463761000922967626e-01
1.286289240676146846e+03,8.493117183181730923e-02
1.283877878950187323e+03,3.619728546463130830e-02
1.281475541299117367e+03,7.388297602897208986e-03
1.279082177161152231e+03,2.310045901262691367e-03
1.276697736351530921e+03,1.981245380857429503e-02
1.274322169059010776e+03,5.447640098509893419e-02
1.271955425842398199e+03,9.893885871232929730e-02
1.269597457627118274e+03,1.462513496747015196e-01
1.267248215701823710e+03,1.911921585061887863e-01
1.264907651715039492e+03,2.304932121553458224e-01
1.262575717671845950e+03,2.624683957239836718e-01
1.260252365930599126e+03,2.864942679630106404e-01
1.257937549199685009e+03,3.025739865004252738e-01
1.255631220534310842e+03,3.110463919421579959e-01
1.253333333333333030e+03,3.124245292900076909e-01
1.251043841336116429e+03,3.073261058494756726e-01
1.248762698619431831e+03,2.964686292100319753e-01
1.246489859594383461e+03,2.806828368282490160e-01
1.244225279003373544e+03,2.609457351020791904e-01
1.241968911917098239e+03,2.383899991872601154e-01
1.239720713731574506e+03,2.142808471852319929e-01
1.237480640165203567e+03,1.899469901342461797e-01
1.235248647255861670e+03,1.666695985602541230e-01
1.233024691358024484e+03,1.455525682094358786e-01
1.230808729139922889e+03,1.274121095248444413e-01
1.228600717580727633e+03,1.127234030476216980e-01
1.226400613967766276e+03,1.016405546903569601e-01
1.224208375893768789e+03,9.408359898780570274e-02
1.222023961254142023e+03,8.986158535630388300e-02
1.219847328244274422e+03,8.878542832933937479e-02
1.217678435356870295e+03,9.073731639288845630e-02
1.215517241379310008e+03,9.567617477804823967e-02
1.213363705391039957e+03,1.035789522033655624e-01
1.211217786760990066e+03,1.143369305309442779e-01
1.209079445145018553e+03,1.276407210636475442e-01
1.206948640483383542e+03,1.428920933301850160e-01
1.204825332998240583e+03,1.591731695871091701e-01
1.202709483191168829e+03,1.752821227019685513e-01
1.200601051840720856e+03,1.898194155377380399e-01
